
area,num_people,avg_temp,insulation_score,building_age,monthly_energy_consumption
77,7,19,6,3,554.92
275,9,24,1,12,1609.34
112,9,25,5,38,1454.92
295,1,17,3,30,507.77
243,1,11,4,6,-2.29
173,7,11,7,8,420.17
184,7,16,7,38,805.19
169,9,38,3,52,2043.17
111,4,17,8,17,322.66
277,8,29,6,43,1905.69
218,2,25,5,10,441.42
294,1,27,2,2,753.85
292,4,36,3,48,1571.35
196,2,11,6,1,-60.47
90,4,25,4,41,538.86
108,4,17,9,16,255.67
255,3,12,9,40,333.4
281,7,31,2,32,1773.84
126,2,15,6,17,52.07
181,8,30,7,13,1343.0
47,4,13,3,58,315.79
62,8,16,3,11,824.29
41,1,27,1,2,313.0
249,4,27,9,37,875.82
256,4,36,1,33,1626.74
181,9,22,3,7,1459.94
155,1,21,4,58,460.74
161,6,31,5,6,1142.37
70,4,34,3,4,959.15
111,5,32,9,0,744.87
89,5,23,3,21,876.4
43,1,11,4,53,-128.37
83,9,34,4,20,1520.44
116,9,33,5,37,1395.25
66,8,10,9,50,712.64
149,9,33,7,58,1696.98
55,4,17,2,51,721.85
104,3,23,9,17,211.72
236,4,13,7,14,312.13
65,2,36,7,6,527.6
266,5,23,9,46,989.77
193,6,18,6,48,1044.44
144,5,19,5,12,634.99
62,9,20,8,44,959.69
235,7,24,3,49,1554.6
166,6,21,4,51,932.33
195,1,18,3,27,321.47
123,9,20,4,59,1544.69
206,7,39,8,14,1327.17
176,7,15,3,21,822.34
183,9,11,8,23,780.26
279,7,23,2,53,1487.96
127,5,17,7,13,503.73
283,1,20,4,10,550.48
114,5,13,7,57,530.49
230,6,32,4,34,1651.4
256,5,23,9,35,975.78
191,3,36,5,38,1047.63
223,1,23,5,49,698.7
299,3,19,1,6,1123.49
293,4,14,2,23,841.4
92,7,22,4,53,1313.19
42,9,37,1,51,1735.69
116,8,18,6,51,1042.27
189,3,33,4,12,855.13
243,2,27,3,6,770.69
117,4,10,3,48,474.14
240,2,17,3,10,233.28
